pmcid,pmid,doi,created
PMC1247577,15471708,10.1289/ehp.112-a789,2004-10-01
PMC1247652,NA,NA,2004-11-01
PMC1278499,NA,NA,2005-04-01
PMC1314962,NA,NA,2005-12-01
PMC1867954,NA,NA,2007-05-01
PMC2254967,18334931,NA,2008-01-29
PMC2614192,19204824,10.4137/ebo.s934,2008-10-06
PMC2684125,19461973,NA,2007-09-26
PMC2684143,19468314,NA,2007-09-17
PMC2688344,19578519,10.4137/bmi.s790,2008-07-02
PMC2717845,19662225,NA,2007-12-11
PMC2722059,19672425,10.3747/co.v16i4.352,2009-08-01
PMC2754025,18330067,NA,2007-09-01
PMC2784685,19946382,10.18632/aging.100004,2009-01-01
PMC2798743,20041042,NA,2008-01-01
PMC2808184,20140073,10.4137/bbi.s2745,2009-07-01
PMC3019433,NA,10.1186/1753-6561-5-s1-p117,2011-01-10
PMC3019434,NA,10.1186/1753-6561-5-s1-p118,2011-01-10
PMC3019503,NA,10.1186/1753-6561-5-s1-p74,2011-01-10
PMC3019508,NA,10.1186/1753-6561-5-s1-p79,2011-01-10
PMC3019510,NA,10.1186/1753-6561-5-s1-p80,2011-01-10
PMC3167654,22460397,10.3134/ehtj.10.163,2010-06-03
PMC3167656,22460396,10.3134/ehtj.10.006,2010-05-20
PMC3167658,22460392,10.3134/ehtj.10.002,2010-10-04
PMC3224071,22187606,10.4314/pamj.v10i0.72235,2011-10-19
PMC3229973,21990137,10.18632/aging.100370,2011-10-01
PMC3266674,22359694,NA,2011-12-14
PMC3327440,22511850,NA,2012-04-07
PMC3347541,22649628,NA,2010-04-01
PMC3469194,23109952,NA,2012-01-01
PMC3484775,23198121,NA,2011-12-01
PMC3612824,23556129,NA,2013-01-01
PMC3614584,23674957,NA,2005-06-01
PMC3615292,23675206,NA,2010-12-01
PMC3716469,23878501,NA,2013-07-19
PMC3832146,24250485,NA,2012-01-01
PMC3903096,24478981,10.9734/ejmp/2013/5995,2013-01-01
PMC3941895,24624203,10.17795/jjnpp-8591,2013-07-17
PMC4002024,24892459,NA,2013-04-01
PMC4216451,25587263,NA,2011-01-01
PMC4299990,25610576,NA,2014-01-01
PMC4299999,25610585,NA,2014-01-01
PMC4304229,25653841,10.12688/f1000research.5741.2,2014-11-14
PMC4358410,25789163,10.12688/f1000research.6164.2,2015-02-19
PMC4393672,25870835,10.22074/cellj.2015.512,2015-04-08
PMC4403053,25901144,NA,2015-01-01
PMC4621896,26286963,10.18632/oncotarget.4625,2015-07-01
PMC4627031,26512679,10.3390/ijerph121013289,2015-10-23
PMC4632399,26512689,10.3390/v7102891,2015-10-23
PMC4632401,26512690,10.3390/v7102893,2015-10-23
PMC4637277,26305720,10.18632/oncotarget.4907,2015-08-01
PMC4652962,26296976,10.18632/oncotarget.4841,2015-08-01
PMC4694784,26284589,10.18632/oncotarget.4323,2015-09-01
PMC4745674,26356565,10.18632/oncotarget.5110,2015-10-01
PMC5052503,20112475,NA,2009-07-01
PMC5100042,27843471,NA,2016-01-01
PMC5152609,27974910,NA,2016-01-01
PMC5242348,28228800,NA,2016-01-01
PMC5251354,28144423,NA,2016-12-15
PMC5359324,28105801,10.13918/j.issn.2095-8137.2016.6.361,2016-11-01
PMC5368379,28271668,10.13918/j.issn.2095-8137.2017.004,2017-01-01
PMC5653882,29085606,NA,2017-09-15
PMC5662269,29104771,NA,2017-07-01
PMC5707126,29202119,10.16966/2473-1846.132,2017-07-16
PMC5719507,29225752,NA,2017-06-01
PMC5963649,29844779,NA,2017-01-01
PMC6004632,29922421,NA,2018-02-01
PMC6204004,30410736,10.7189/johg.08.020310,2018-12-01
PMC6234716,30460173,10.3205/dgkh000314,2018-09-24
PMC6315984,30544924,10.3390/v10120702,2018-12-11
PMC6401583,30847308,NA,2019-01-01
PMC6420122,30882093,NA,2018-07-02
PMC6475872,31024747,NA,2019-01-01
PMC6534796,31143216,NA,2018-10-01
PMC6734498,31538043,10.3205/dgkh000326,2019-08-05
PMC6902649,31832255,10.5365/wpsar.2018.9.5.006,2018-09-05
PMC6902657,31832249,10.5365/wpsar.2018.9.5.013,2018-01-01
PMC7024699,32110461,10.5365/2019.10.1.006,2019-07-01
PMC1994808,17940630,NA,2006-12-01
PMC2106561,14286297,10.1083/jcb.24.1.57,1965-01-01
PMC2113407,6470038,10.1083/jcb.99.3.1076,1984-09-01
PMC2113797,3522602,10.1083/jcb.103.1.159,1986-07-01
PMC2113917,4044646,10.1083/jcb.101.4.1591,1985-10-01
PMC2113985,2999159,10.1083/jcb.101.6.2199,1985-12-01
PMC2114239,3011809,10.1083/jcb.102.6.2147,1986-06-01
PMC2114261,3458708,10.1083/jcb.102.6.2169,1986-06-01
