doi,created
10.1290/0408056.1,2005-04-01
10.1080/17402520600579168,2006-12-07
10.4103/1817-1737.41914,2009-02-19
10.4103/1817-1737.43085,2009-02-19
10.4103/1817-1737.53349,2009-07-10
10.4103/0974-2700.55329,2009-08-31
10.4103/0974-777x.56258,2009-10-03
10.4103/0250-474x.40339,2009-02-24
10.4103/0970-2113.44140,2009-10-20
10.4103/0970-2113.53225,2009-07-06
10.4103/0250-474x.57292,2009-10-30
10.1203/pdr.0b013e3181e9f3a0,2010-06-02
10.4103/0974-7788.76790,2011-04-08
10.4103/0970-2113.76301,2011-04-08
10.4103/0970-2113.80340,2011-05-06
10.4103/0974-2700.82212,2011-06-30
10.4103/0974-8490.69108,2010-10-06
10.4103/0972-5229.83011,2011-07-16
10.4103/0973-1229.42101,2009-07-09
10.4103/0256-4947.84633,2011-09-08
10.4103/0973-7847.91117,2011-12-23
10.4103/0976-9668.82313,2011-08-04
10.4103/0973-6247.95046,2012-04-16
10.4103/0974-777x.96778,2012-05-29
10.4103/0970-2113.99118,2012-07-28
10.4103/2231-4040.104711,2014-01-29
10.4103/0976-9668.107324,2013-02-19
10.4103/0300-1652.107557,2013-02-21
10.4103/0976-500x.107687,2013-02-22
10.4103/1817-1745.111418,2013-05-06
10.4103/0019-5049.111832,2013-05-15
10.4103/1817-1737.114302,2013-07-01
10.1187/cbe.12-11-0190,2013-09-05
10.4103/2141-9248.117923,2013-09-11
10.4103/0972-5229.120316,2013-10-24
10.4103/0973-7847.120517,2013-10-25
10.4103/0973-7847.125525,2014-01-20
10.5935/0103-507x.20130023,2013-07-31
10.1590/s1806-37132013000300009,2013-12-17
10.4103/2141-9248.131700,2014-04-29
10.1590/s0036-46652013000600012,2013-12-05
10.4103/0974-2700.136855,2014-07-16
10.5847/wjem.j.issn.1920-8642.2013.02.002,2013-06-06
10.4103/2229-5151.141356,2014-09-22
10.4103/0019-5049.144679,2014-11-13
10.4103/0974-777x.145247,2014-11-21
10.15537/smj.2015.1.11318,2015-01-28
10.4103/1817-1737.151437,2015-03-03
10.15537/smj.2015.4.10089,2015-04-01
10.15537/smj.2015.4.10908,2015-04-01
10.15537/smj.2015.4.10243,2015-04-01
10.4103/2231-0762.159951,2015-07-03
10.4103/1817-1737.160847,2016-03-16
10.4103/1817-1745.165716,2015-09-18
10.12669/pjms.315.8017,2015-09-16
10.4103/1817-1737.180024,2016-04-11
10.4103/1817-1737.180027,2016-04-11
10.4103/1817-1737.180022,2016-04-11
10.4103/1817-1737.177470,2016-02-25
10.4103/0973-029x.180931,2016-04-22
10.1590/s1679-45082013000100024,2013-04-10
10.1590/s1677-5538.ibju.2015.0159,2016-06-29
10.1590/s1679-45082015ao3397,2015-10-11
10.1590/s1679-45082015ao3331,2015-07-04
10.4103/1817-1737.185756,2016-07-07
10.3233/isu-140731,2017-09-06
10.12669/pjms.324.10038,2016-07-12
10.4103/2347-5625.178168,2016-03-10
10.4103/0974-777x.193749,2016-11-10
10.4103/2229-5178.193903,2016-11-11
10.4103/2249-4863.197256,2017-01-05
10.4103/jgid.jgid_24_17,2017-05-24
10.4103/atm.atm_143_17,2017-07-13
10.4103/ijri.ijri_469_16,2017-09-25
10.4103/2249-4863.220019,2017-12-22
10.4103/jgid.jgid_66_17,2017-12-12
10.4103/apjon.apjon_62_17,2017-12-22
10.4103/jfmpc.jfmpc_75_17,2017-12-29
10.5935/0103-507x.20180019,2018-04-24
10.4103/jfmpc.jfmpc_137_18,2018-07-11
10.5144/0256-4947.2016.78,2017-03-31
10.5144/0256-4947.2015.203,2017-03-25
10.5144/0256-4947.2014.396,2017-03-25
10.5144/0256-4947.2013.427,2017-03-18
10.5144/0256-4947.2013.301,2017-03-18
10.5935/0103-507x.20180052,2018-09-28
10.4103/atm.atm_291_17,2018-10-10
10.4103/jpgm.jpgm_283_17,2018-08-17
10.1590/1984-0462/;2018;36;3;00010,2018-07-27
10.15537/smj.2018.11.23026,2018-11-05
10.4103/jgid.jgid_168_17,2018-11-29
